Top 500 latents with highest separation scores (ascending order):
Format: Latent_idx: Score (f_suffix, f_original)
116. Latent  459:  0.410 ( 0.460,  0.050)
117. Latent 1495:  0.410 ( 0.430,  0.020)
118. Latent 1553:  0.410 ( 0.460,  0.050)
119. Latent  112:  0.400 ( 0.410,  0.010)
120. Latent   87:  0.400 ( 0.460,  0.060)
121. Latent  172:  0.400 ( 0.670,  0.270)
122. Latent  205:  0.400 ( 0.400,  0.000)
123. Latent  702:  0.400 ( 0.770,  0.370)
124. Latent  838:  0.400 ( 0.400,  0.000)
125. Latent 1360:  0.400 ( 0.720,  0.320)
126. Latent 1444:  0.400 ( 0.480,  0.080)
127. Latent 1524:  0.400 ( 0.520,  0.120)
128. Latent  537:  0.390 ( 0.740,  0.350)
129. Latent 1655:  0.390 ( 0.680,  0.290)
130. Latent 1717:  0.390 ( 0.690,  0.300)
131. Latent  640:  0.390 ( 0.500,  0.110)
132. Latent  842:  0.390 ( 0.450,  0.060)
133. Latent 1242:  0.390 ( 0.420,  0.030)
134. Latent 1563:  0.390 ( 0.640,  0.250)
135. Latent 1746:  0.390 ( 0.430,  0.040)
136. Latent 1900:  0.390 ( 0.410,  0.020)
137. Latent 1938:  0.390 ( 0.570,  0.180)
138. Latent  188:  0.380 ( 0.590,  0.210)
139. Latent  518:  0.380 ( 0.450,  0.070)
140. Latent  710:  0.380 ( 0.410,  0.030)
141. Latent 1183:  0.380 ( 0.420,  0.040)
142. Latent 1263:  0.380 ( 0.470,  0.090)
143. Latent 1300:  0.380 ( 0.490,  0.110)
144. Latent 1476:  0.380 ( 0.380,  0.000)
145. Latent 1518:  0.380 ( 0.430,  0.050)
146. Latent 1618:  0.380 ( 0.410,  0.030)
147. Latent 1190:  0.380 ( 0.400,  0.020)
148. Latent  247:  0.370 ( 0.510,  0.140)
149. Latent  605:  0.370 ( 0.380,  0.010)
150. Latent  865:  0.370 ( 0.570,  0.200)
151. Latent 1145:  0.370 ( 0.770,  0.400)
152. Latent 1622:  0.370 ( 0.510,  0.140)
153. Latent 1869:  0.370 ( 0.500,  0.130)
154. Latent 1314:  0.370 ( 0.600,  0.230)
155. Latent 1526:  0.370 ( 0.600,  0.230)
156. Latent  939:  0.360 ( 0.570,  0.210)
157. Latent 1588:  0.360 ( 0.500,  0.140)
158. Latent   81:  0.360 ( 0.420,  0.060)
159. Latent  150:  0.360 ( 0.380,  0.020)
160. Latent  431:  0.360 ( 0.390,  0.030)
161. Latent  551:  0.360 ( 0.360,  0.000)
162. Latent  601:  0.360 ( 0.360,  0.000)
163. Latent  814:  0.360 ( 0.390,  0.030)
164. Latent  845:  0.360 ( 0.360,  0.000)
165. Latent  919:  0.360 ( 0.430,  0.070)
166. Latent 1196:  0.360 ( 0.650,  0.290)
167. Latent 1353:  0.360 ( 0.380,  0.020)
168. Latent 1010:  0.360 ( 0.730,  0.370)
169. Latent  121:  0.350 ( 0.550,  0.200)
170. Latent  304:  0.350 ( 0.560,  0.210)
171. Latent   14:  0.350 ( 0.370,  0.020)
172. Latent   58:  0.350 ( 0.350,  0.000)
173. Latent  394:  0.350 ( 0.410,  0.060)
174. Latent 1164:  0.350 ( 0.360,  0.010)
175. Latent 1467:  0.350 ( 0.710,  0.360)
176. Latent 1646:  0.350 ( 0.350,  0.000)
177. Latent 1663:  0.350 ( 0.350,  0.000)
178. Latent 1697:  0.350 ( 0.350,  0.000)
179. Latent 1175:  0.350 ( 0.400,  0.050)
180. Latent 1597:  0.350 ( 0.430,  0.080)
181. Latent 1830:  0.350 ( 0.460,  0.110)
182. Latent   10:  0.340 ( 0.380,  0.040)
183. Latent  164:  0.340 ( 0.340,  0.000)
184. Latent  418:  0.340 ( 0.370,  0.030)
185. Latent 1368:  0.340 ( 0.350,  0.010)
186. Latent 1694:  0.340 ( 0.750,  0.410)
187. Latent  829:  0.340 ( 0.390,  0.050)
188. Latent 2020:  0.340 ( 0.960,  0.620)
189. Latent 1921:  0.330 ( 0.340,  0.010)
190. Latent   32:  0.330 ( 0.330,  0.000)
191. Latent   36:  0.330 ( 0.380,  0.050)
192. Latent   72:  0.330 ( 0.360,  0.030)
193. Latent  370:  0.330 ( 0.700,  0.370)
194. Latent  388:  0.330 ( 0.420,  0.090)
195. Latent  604:  0.330 ( 0.350,  0.020)
196. Latent  809:  0.330 ( 0.400,  0.070)
197. Latent  830:  0.330 ( 0.410,  0.080)
198. Latent  868:  0.330 ( 0.430,  0.100)
199. Latent  997:  0.330 ( 0.450,  0.120)
200. Latent 1277:  0.330 ( 0.380,  0.050)
201. Latent 1599:  0.330 ( 0.330,  0.000)
202. Latent 1882:  0.330 ( 0.440,  0.110)
203. Latent 1942:  0.330 ( 0.430,  0.100)
204. Latent   52:  0.320 ( 0.340,  0.020)
205. Latent   91:  0.320 ( 0.420,  0.100)
206. Latent  211:  0.320 ( 0.330,  0.010)
207. Latent  291:  0.320 ( 0.410,  0.090)
208. Latent  377:  0.320 ( 0.320,  0.000)
209. Latent  491:  0.320 ( 0.400,  0.080)
210. Latent  547:  0.320 ( 0.320,  0.000)
211. Latent  570:  0.320 ( 0.390,  0.070)
212. Latent  598:  0.320 ( 0.520,  0.200)
213. Latent  811:  0.320 ( 0.340,  0.020)
214. Latent  950:  0.320 ( 0.390,  0.070)
215. Latent  983:  0.320 ( 0.390,  0.070)
216. Latent 1036:  0.320 ( 0.320,  0.000)
217. Latent 1267:  0.320 ( 0.400,  0.080)
218. Latent 1432:  0.320 ( 0.570,  0.250)
219. Latent 1674:  0.320 ( 0.400,  0.080)
220. Latent 1682:  0.320 ( 0.350,  0.030)
221. Latent 1920:  0.320 ( 0.430,  0.110)
222. Latent 1974:  0.320 ( 0.340,  0.020)
223. Latent 2009:  0.320 ( 0.320,  0.000)
224. Latent  124:  0.310 ( 0.740,  0.430)
225. Latent  265:  0.310 ( 0.310,  0.000)
226. Latent  297:  0.310 ( 0.410,  0.100)
227. Latent  318:  0.310 ( 0.320,  0.010)
228. Latent  654:  0.310 ( 0.410,  0.100)
229. Latent  954:  0.310 ( 0.350,  0.040)
230. Latent 1142:  0.310 ( 0.310,  0.000)
231. Latent 1443:  0.310 ( 0.570,  0.260)
232. Latent 1450:  0.310 ( 0.480,  0.170)
233. Latent  867:  0.310 ( 0.330,  0.020)
234. Latent  274:  0.300 ( 0.310,  0.010)
235. Latent  287:  0.300 ( 0.350,  0.050)
236. Latent  524:  0.300 ( 0.370,  0.070)
237. Latent  596:  0.300 ( 0.350,  0.050)
238. Latent  645:  0.300 ( 0.560,  0.260)
239. Latent  799:  0.300 ( 0.370,  0.070)
240. Latent  883:  0.300 ( 0.570,  0.270)
241. Latent  949:  0.300 ( 0.310,  0.010)
242. Latent 1011:  0.300 ( 0.310,  0.010)
243. Latent 1127:  0.300 ( 0.310,  0.010)
244. Latent 1692:  0.300 ( 0.870,  0.570)
245. Latent   24:  0.300 ( 0.600,  0.300)
246. Latent   56:  0.300 ( 0.300,  0.000)
247. Latent  243:  0.300 ( 0.420,  0.120)
248. Latent  367:  0.300 ( 0.330,  0.030)
249. Latent 1585:  0.300 ( 0.320,  0.020)
250. Latent 1955:  0.300 ( 0.330,  0.030)
251. Latent  670:  0.290 ( 0.370,  0.080)
252. Latent 1564:  0.290 ( 0.440,  0.150)
253. Latent 1613:  0.290 ( 0.440,  0.150)
254. Latent    5:  0.290 ( 0.770,  0.480)
255. Latent  437:  0.290 ( 0.290,  0.000)
256. Latent  487:  0.290 ( 0.290,  0.000)
257. Latent  589:  0.290 ( 0.290,  0.000)
258. Latent  688:  0.290 ( 0.420,  0.130)
259. Latent  858:  0.290 ( 0.300,  0.010)
260. Latent 1110:  0.290 ( 0.360,  0.070)
261. Latent 1633:  0.290 ( 0.310,  0.020)
262. Latent  854:  0.290 ( 0.430,  0.140)
263. Latent 1767:  0.290 ( 0.400,  0.110)
264. Latent 2030:  0.280 ( 0.820,  0.540)
265. Latent  245:  0.280 ( 0.280,  0.000)
266. Latent  322:  0.280 ( 0.280,  0.000)
267. Latent  357:  0.280 ( 0.350,  0.070)
268. Latent  378:  0.280 ( 0.290,  0.010)
269. Latent  457:  0.280 ( 0.340,  0.060)
270. Latent  935:  0.280 ( 0.280,  0.000)
271. Latent  993:  0.280 ( 0.290,  0.010)
272. Latent 1465:  0.280 ( 0.350,  0.070)
273. Latent 1609:  0.280 ( 0.310,  0.030)
274. Latent 1961:  0.280 ( 0.290,  0.010)
275. Latent   74:  0.280 ( 0.520,  0.240)
276. Latent  306:  0.280 ( 0.300,  0.020)
277. Latent 1001:  0.280 ( 0.330,  0.050)
278. Latent 1507:  0.280 ( 0.330,  0.050)
279. Latent 1867:  0.280 ( 0.300,  0.020)
280. Latent 1883:  0.280 ( 0.720,  0.440)
281. Latent 1889:  0.280 ( 0.330,  0.050)
282. Latent 1998:  0.280 ( 0.300,  0.020)
283. Latent  885:  0.270 ( 0.340,  0.070)
284. Latent  951:  0.270 ( 0.620,  0.350)
285. Latent  964:  0.270 ( 0.280,  0.010)
286. Latent  966:  0.270 ( 0.310,  0.040)
287. Latent 1189:  0.270 ( 0.310,  0.040)
288. Latent 1310:  0.270 ( 0.280,  0.010)
289. Latent 1323:  0.270 ( 0.370,  0.100)
290. Latent   60:  0.270 ( 0.460,  0.190)
291. Latent  113:  0.270 ( 0.540,  0.270)
292. Latent  198:  0.270 ( 0.290,  0.020)
293. Latent  395:  0.270 ( 0.430,  0.160)
294. Latent  475:  0.270 ( 0.770,  0.500)
295. Latent  544:  0.270 ( 0.360,  0.090)
296. Latent  559:  0.270 ( 0.330,  0.060)
297. Latent  793:  0.270 ( 0.720,  0.450)
298. Latent  807:  0.270 ( 0.400,  0.130)
299. Latent 1070:  0.270 ( 0.270,  0.000)
300. Latent 1118:  0.270 ( 0.290,  0.020)
301. Latent 1170:  0.270 ( 0.270,  0.000)
302. Latent 1379:  0.270 ( 0.330,  0.060)
303. Latent 1448:  0.270 ( 0.770,  0.500)
304. Latent 1463:  0.270 ( 0.800,  0.530)
305. Latent 1493:  0.270 ( 0.270,  0.000)
306. Latent 1676:  0.270 ( 0.330,  0.060)
307. Latent 1744:  0.270 ( 0.350,  0.080)
308. Latent 1752:  0.270 ( 0.670,  0.400)
309. Latent 1785:  0.270 ( 0.300,  0.030)
310. Latent 1850:  0.270 ( 0.270,  0.000)
311. Latent 1984:  0.270 ( 0.490,  0.220)
312. Latent 2019:  0.270 ( 0.330,  0.060)
313. Latent  973:  0.260 ( 0.560,  0.300)
314. Latent  279:  0.260 ( 0.260,  0.000)
315. Latent  416:  0.260 ( 0.350,  0.090)
316. Latent  461:  0.260 ( 0.370,  0.110)
317. Latent  467:  0.260 ( 0.310,  0.050)
318. Latent  533:  0.260 ( 0.390,  0.130)
319. Latent  743:  0.260 ( 0.260,  0.000)
320. Latent  801:  0.260 ( 0.300,  0.040)
321. Latent  937:  0.260 ( 0.310,  0.050)
322. Latent  970:  0.260 ( 0.300,  0.040)
323. Latent 1023:  0.260 ( 0.260,  0.000)
324. Latent 1335:  0.260 ( 0.290,  0.030)
325. Latent 1359:  0.260 ( 0.260,  0.000)
326. Latent 1389:  0.260 ( 0.260,  0.000)
327. Latent 1417:  0.260 ( 0.450,  0.190)
328. Latent 1542:  0.260 ( 0.270,  0.010)
329. Latent 1701:  0.260 ( 0.460,  0.200)
330. Latent 1789:  0.260 ( 0.260,  0.000)
331. Latent 1796:  0.260 ( 0.790,  0.530)
332. Latent 2021:  0.260 ( 0.320,  0.060)
333. Latent 1499:  0.260 ( 0.600,  0.340)
334. Latent  280:  0.250 ( 0.340,  0.090)
335. Latent  499:  0.250 ( 0.310,  0.060)
336. Latent  948:  0.250 ( 0.710,  0.460)
337. Latent 1166:  0.250 ( 0.290,  0.040)
338. Latent 1428:  0.250 ( 0.250,  0.000)
339. Latent 1453:  0.250 ( 0.620,  0.370)
340. Latent 1481:  0.250 ( 0.320,  0.070)
341. Latent   78:  0.250 ( 0.270,  0.020)
342. Latent  128:  0.250 ( 0.260,  0.010)
343. Latent  375:  0.250 ( 0.260,  0.010)
344. Latent  590:  0.250 ( 0.260,  0.010)
345. Latent 1028:  0.250 ( 0.260,  0.010)
346. Latent 1077:  0.250 ( 0.260,  0.010)
347. Latent 1456:  0.250 ( 0.270,  0.020)
348. Latent 1769:  0.250 ( 0.270,  0.020)
349. Latent  433:  0.240 ( 0.370,  0.130)
350. Latent 1168:  0.240 ( 0.280,  0.040)
351. Latent 1291:  0.240 ( 0.280,  0.040)
352. Latent  270:  0.240 ( 0.320,  0.080)
353. Latent  332:  0.240 ( 0.390,  0.150)
354. Latent  478:  0.240 ( 0.240,  0.000)
